Gruppe;Kennzahl;Wert;Bewertung
Versuchsdesign;Varianten-ID;Capping=500;
Zuverlaessigkeit;Runs gesamt;500;
Zuverlaessigkeit;Erfolgreiche Runs;453;
Zuverlaessigkeit;Success / Failure;90,6%;brauchbar, aber beobachtbar instabil
Zuverlaessigkeit;Durchschnittliche Fehlversuche;0,426;moderater Retry-Aufwand
Zuverlaessigkeit;Emergency-Fallback-Rate;0,0%;Fallback kaum noetig
Layout;Durchschnitt Raeume vor Capping;6,636;
Layout;Final Placed Rooms;8,562;
Layout;Sollraum-Trefferquote;99,4%;hoch / stabil
Layout;Open Sockets Pre-Cap;3,006;
Layout;Durchschnitt offene Sockets nach Capping;0,148;kleine Restprobleme
Layout;Durchschnitt Branching Factor;1,57;stark verzweigt / labyrinthartig
Layout;Durchschnitt kritischer Pfad;5,018;
Layout;Durchschnitt Nebenpfad-Raeume;1,618;
Progression;Durchschnitt Start-Boss-Distanz;4,048;Bossdistanz messbar
Progression;Boss-Distanz gueltig;100,0%;hoch / stabil
Progression;Spezialraum-Validitaet;100,0%;hoch / stabil
Performance;Gesamtdauer ms;76,146;unproblematisch
Performance;Durchschnitt Room Placement ms;29,708;
Performance;Durchschnitt Capping ms;14,743;
Performance;Durchschnitt NavMesh ms;16,487;
Performance;Durchschnitt Content Spawning ms;9,844;
Fehler;Error Cause;OpenSocketsRemainingAfterCapping (Overlap)=38, OpenSocketsRemainingAfterCapping=6, RoomLimitReachedBeforeCompletion (Overlap)=3;
Raumtypen;Cap;963;
Raumtypen;Corner;507;
Raumtypen;ThreeWay;506;
Raumtypen;Boss;497;
Raumtypen;Start;497;
Raumtypen;Crossway;492;
Raumtypen;Corridor;485;
Raumtypen;BigRoom;175;
Raumtypen;DeadEnd;159;
Generation Fehler;RoomLimitReachedBeforeCompletion;170;
Generation Fehler;OpenSocketsExhausted;43;
Placement Fehler;Overlap;9724;
Run 0;Varianten-ID;Capping;
Run 0;Success / Failure;true;Success
