Gruppe;Kennzahl;Wert;Bewertung
Versuchsdesign;Varianten-ID;HighControl=500;
Zuverlaessigkeit;Runs gesamt;500;
Zuverlaessigkeit;Erfolgreiche Runs;500;
Zuverlaessigkeit;Success / Failure;100,0%;hoch / stabil
Zuverlaessigkeit;Durchschnittliche Fehlversuche;12,378;hoher Retry-Aufwand, Constraints vermutlich zu eng
Zuverlaessigkeit;Emergency-Fallback-Rate;69,6%;Fallback haeufig noetig, normale Regeln pruefen
Layout;Durchschnitt Raeume vor Capping;13,892;
Layout;Final Placed Rooms;18,458;
Layout;Sollraum-Trefferquote;30,4%;kritisch
Layout;Open Sockets Pre-Cap;8,756;
Layout;Durchschnitt offene Sockets nach Capping;0;vollstaendig geschlossen
Layout;Durchschnitt Branching Factor;1,56;stark verzweigt / labyrinthartig
Layout;Durchschnitt kritischer Pfad;8,412;
Layout;Durchschnitt Nebenpfad-Raeume;5,48;
Progression;Durchschnitt Start-Boss-Distanz;7,412;Boss liegt im Mittel zu nah am Start
Progression;Boss-Distanz gueltig;43,4%;kritisch
Progression;Spezialraum-Validitaet;43,4%;kritisch
Performance;Gesamtdauer ms;2566,029;teuer, Performance pruefen
Performance;Durchschnitt Room Placement ms;2417,831;
Performance;Durchschnitt Capping ms;83,551;
Performance;Durchschnitt NavMesh ms;22,861;
Performance;Durchschnitt Content Spawning ms;9,882;
Fehler;Error Cause;none;
Raumtypen;Cap;2283;
Raumtypen;Corner;1514;
Raumtypen;ThreeWay;1485;
Raumtypen;Crossway;1217;
Raumtypen;Corridor;1199;
Raumtypen;Boss;500;
Raumtypen;Start;500;
Raumtypen;BigRoom;495;
Raumtypen;DeadEnd;36;
Generation Fehler;RoomLimitReachedBeforeCompletion;6074;
Generation Fehler;OpenSocketsExhausted;115;
Placement Fehler;Overlap;1190314;
Placement Fehler;PlacementConstraintRejected;136649;
Run 0;Varianten-ID;HighControl;
Run 0;Success / Failure;true;Success
Run 0;Gesamtdauer ms;1902,646;teuer, Performance pruefen
Run 0;Final Placed Rooms;24;
Run 0;Open Sockets Pre-Cap;10;
Run 0;Error Cause;None;
Run 1;Varianten-ID;HighControl;
Run 1;Success / Failure;true;Success
Run 1;Gesamtdauer ms;1973,324;teuer, Performance pruefen
Run 1;Final Placed Rooms;24;
Run 1;Open Sockets Pre-Cap;10;
Run 1;Error Cause;None;
Run 2;Varianten-ID;HighControl;
Run 2;Success / Failure;true;Success
Run 2;Gesamtdauer ms;1918,329;teuer, Performance pruefen
Run 2;Final Placed Rooms;24;
Run 2;Open Sockets Pre-Cap;10;
Run 2;Error Cause;None;
Run 3;Varianten-ID;HighControl;
Run 3;Success / Failure;true;Success
Run 3;Gesamtdauer ms;1037,151;teuer, Performance pruefen
Run 3;Final Placed Rooms;24;
Run 3;Open Sockets Pre-Cap;10;
Run 3;Error Cause;None;
Run 4;Varianten-ID;HighControl;
Run 4;Success / Failure;true;Success
Run 4;Gesamtdauer ms;797,774;spuerbar, aber fuer Offline-Generierung brauchbar
Run 4;Final Placed Rooms;24;
Run 4;Open Sockets Pre-Cap;10;
Run 4;Error Cause;None;
Run 5;Varianten-ID;HighControl;
Run 5;Success / Failure;true;Success
Run 5;Gesamtdauer ms;687,359;spuerbar, aber fuer Offline-Generierung brauchbar
Run 5;Final Placed Rooms;24;
Run 5;Open Sockets Pre-Cap;10;
Run 5;Error Cause;None;
Run 6;Varianten-ID;HighControl;
Run 6;Success / Failure;true;Success
Run 6;Gesamtdauer ms;543,954;spuerbar, aber fuer Offline-Generierung brauchbar
Run 6;Final Placed Rooms;24;
Run 6;Open Sockets Pre-Cap;10;
Run 6;Error Cause;None;
Run 7;Varianten-ID;HighControl;
Run 7;Success / Failure;true;Success
Run 7;Gesamtdauer ms;454,903;spuerbar, aber fuer Offline-Generierung brauchbar
Run 7;Final Placed Rooms;24;
Run 7;Open Sockets Pre-Cap;10;
Run 7;Error Cause;None;
Run 8;Varianten-ID;HighControl;
Run 8;Success / Failure;true;Success
Run 8;Gesamtdauer ms;317,378;spuerbar, aber fuer Offline-Generierung brauchbar
Run 8;Final Placed Rooms;24;
Run 8;Open Sockets Pre-Cap;10;
Run 8;Error Cause;None;
Run 9;Varianten-ID;HighControl;
Run 9;Success / Failure;true;Success
Run 9;Gesamtdauer ms;239,871;unproblematisch
Run 9;Final Placed Rooms;24;
Run 9;Open Sockets Pre-Cap;10;
Run 9;Error Cause;None;
Run 10;Varianten-ID;HighControl;
Run 10;Success / Failure;true;Success
Run 10;Gesamtdauer ms;1786,773;teuer, Performance pruefen
Run 10;Final Placed Rooms;15;
Run 10;Open Sockets Pre-Cap;5;
Run 10;Error Cause;None;
Run 11;Varianten-ID;HighControl;
Run 11;Success / Failure;true;Success
Run 11;Gesamtdauer ms;1865,787;teuer, Performance pruefen
Run 11;Final Placed Rooms;15;
Run 11;Open Sockets Pre-Cap;7;
Run 11;Error Cause;None;
Run 12;Varianten-ID;HighControl;
Run 12;Success / Failure;true;Success
Run 12;Gesamtdauer ms;1764,291;teuer, Performance pruefen
Run 12;Final Placed Rooms;15;
Run 12;Open Sockets Pre-Cap;5;
Run 12;Error Cause;None;
Run 13;Varianten-ID;HighControl;
Run 13;Success / Failure;true;Success
Run 13;Gesamtdauer ms;1682,776;teuer, Performance pruefen
Run 13;Final Placed Rooms;25;
Run 13;Open Sockets Pre-Cap;9;
Run 13;Error Cause;None;
Run 14;Varianten-ID;HighControl;
Run 14;Success / Failure;true;Success
Run 14;Gesamtdauer ms;1633,605;teuer, Performance pruefen
Run 14;Final Placed Rooms;25;
Run 14;Open Sockets Pre-Cap;9;
Run 14;Error Cause;None;
Run 15;Varianten-ID;HighControl;
Run 15;Success / Failure;true;Success
Run 15;Gesamtdauer ms;1422,973;teuer, Performance pruefen
Run 15;Final Placed Rooms;25;
Run 15;Open Sockets Pre-Cap;9;
Run 15;Error Cause;None;
Run 16;Varianten-ID;HighControl;
Run 16;Success / Failure;true;Success
Run 16;Gesamtdauer ms;1231,204;teuer, Performance pruefen
Run 16;Final Placed Rooms;25;
Run 16;Open Sockets Pre-Cap;9;
Run 16;Error Cause;None;
Run 17;Varianten-ID;HighControl;
Run 17;Success / Failure;true;Success
Run 17;Gesamtdauer ms;1158,025;teuer, Performance pruefen
Run 17;Final Placed Rooms;25;
Run 17;Open Sockets Pre-Cap;9;
Run 17;Error Cause;None;
Run 18;Varianten-ID;HighControl;
Run 18;Success / Failure;true;Success
Run 18;Gesamtdauer ms;1055,445;teuer, Performance pruefen
Run 18;Final Placed Rooms;25;
Run 18;Open Sockets Pre-Cap;9;
Run 18;Error Cause;None;
Run 19;Varianten-ID;HighControl;
Run 19;Success / Failure;true;Success
Run 19;Gesamtdauer ms;999,952;spuerbar, aber fuer Offline-Generierung brauchbar
Run 19;Final Placed Rooms;25;
Run 19;Open Sockets Pre-Cap;9;
Run 19;Error Cause;None;
Run 20;Varianten-ID;HighControl;
Run 20;Success / Failure;true;Success
Run 20;Gesamtdauer ms;911,637;spuerbar, aber fuer Offline-Generierung brauchbar
Run 20;Final Placed Rooms;25;
Run 20;Open Sockets Pre-Cap;9;
Run 20;Error Cause;None;
Run 21;Varianten-ID;HighControl;
Run 21;Success / Failure;true;Success
Run 21;Gesamtdauer ms;788,141;spuerbar, aber fuer Offline-Generierung brauchbar
Run 21;Final Placed Rooms;25;
Run 21;Open Sockets Pre-Cap;9;
Run 21;Error Cause;None;
Run 22;Varianten-ID;HighControl;
Run 22;Success / Failure;true;Success
Run 22;Gesamtdauer ms;601,608;spuerbar, aber fuer Offline-Generierung brauchbar
Run 22;Final Placed Rooms;25;
Run 22;Open Sockets Pre-Cap;9;
Run 22;Error Cause;None;
Run 23;Varianten-ID;HighControl;
Run 23;Success / Failure;true;Success
Run 23;Gesamtdauer ms;419,301;spuerbar, aber fuer Offline-Generierung brauchbar
Run 23;Final Placed Rooms;25;
Run 23;Open Sockets Pre-Cap;9;
Run 23;Error Cause;None;
Run 24;Varianten-ID;HighControl;
Run 24;Success / Failure;true;Success
Run 24;Gesamtdauer ms;287,829;spuerbar, aber fuer Offline-Generierung brauchbar
Run 24;Final Placed Rooms;25;
Run 24;Open Sockets Pre-Cap;9;
Run 24;Error Cause;None;
Run 25;Varianten-ID;HighControl;
Run 25;Success / Failure;true;Success
Run 25;Gesamtdauer ms;259,448;spuerbar, aber fuer Offline-Generierung brauchbar
Run 25;Final Placed Rooms;25;
Run 25;Open Sockets Pre-Cap;9;
Run 25;Error Cause;None;
Run 26;Varianten-ID;HighControl;
Run 26;Success / Failure;true;Success
Run 26;Gesamtdauer ms;194,883;unproblematisch
Run 26;Final Placed Rooms;25;
Run 26;Open Sockets Pre-Cap;9;
Run 26;Error Cause;None;
Run 27;Varianten-ID;HighControl;
Run 27;Success / Failure;true;Success
Run 27;Gesamtdauer ms;80,139;unproblematisch
Run 27;Final Placed Rooms;25;
Run 27;Open Sockets Pre-Cap;9;
Run 27;Error Cause;None;
Run 28;Varianten-ID;HighControl;
Run 28;Success / Failure;true;Success
Run 28;Gesamtdauer ms;1858,194;teuer, Performance pruefen
Run 28;Final Placed Rooms;14;
Run 28;Open Sockets Pre-Cap;3;
Run 28;Error Cause;None;
Run 29;Varianten-ID;HighControl;
Run 29;Success / Failure;true;Success
Run 29;Gesamtdauer ms;1951,563;teuer, Performance pruefen
Run 29;Final Placed Rooms;18;
Run 29;Open Sockets Pre-Cap;9;
Run 29;Error Cause;None;
Run 30;Varianten-ID;HighControl;
Run 30;Success / Failure;true;Success
Run 30;Gesamtdauer ms;2054,665;teuer, Performance pruefen
Run 30;Final Placed Rooms;16;
Run 30;Open Sockets Pre-Cap;7;
Run 30;Error Cause;None;
Run 31;Varianten-ID;HighControl;
Run 31;Success / Failure;true;Success
Run 31;Gesamtdauer ms;1920,402;teuer, Performance pruefen
Run 31;Final Placed Rooms;16;
Run 31;Open Sockets Pre-Cap;7;
Run 31;Error Cause;None;
Run 32;Varianten-ID;HighControl;
Run 32;Success / Failure;true;Success
Run 32;Gesamtdauer ms;1826,82;teuer, Performance pruefen
Run 32;Final Placed Rooms;14;
Run 32;Open Sockets Pre-Cap;4;
Run 32;Error Cause;None;
Run 33;Varianten-ID;HighControl;
Run 33;Success / Failure;true;Success
Run 33;Gesamtdauer ms;1971,979;teuer, Performance pruefen
Run 33;Final Placed Rooms;17;
Run 33;Open Sockets Pre-Cap;10;
Run 33;Error Cause;None;
Run 34;Varianten-ID;HighControl;
Run 34;Success / Failure;true;Success
Run 34;Gesamtdauer ms;1939,141;teuer, Performance pruefen
Run 34;Final Placed Rooms;15;
Run 34;Open Sockets Pre-Cap;4;
Run 34;Error Cause;None;
Run 35;Varianten-ID;HighControl;
Run 35;Success / Failure;true;Success
Run 35;Gesamtdauer ms;2026,473;teuer, Performance pruefen
Run 35;Final Placed Rooms;18;
Run 35;Open Sockets Pre-Cap;13;
Run 35;Error Cause;None;
Run 36;Varianten-ID;HighControl;
Run 36;Success / Failure;true;Success
Run 36;Gesamtdauer ms;2280,123;teuer, Performance pruefen
Run 36;Final Placed Rooms;15;
Run 36;Open Sockets Pre-Cap;6;
Run 36;Error Cause;None;
Run 37;Varianten-ID;HighControl;
Run 37;Success / Failure;true;Success
