Gruppe;Kennzahl;Wert;Bewertung
Versuchsdesign;Varianten-ID;Standard=500;
Zuverlaessigkeit;Runs gesamt;500;
Zuverlaessigkeit;Erfolgreiche Runs;500;
Zuverlaessigkeit;Success / Failure;100,0%;hoch / stabil
Zuverlaessigkeit;Durchschnittliche Fehlversuche;2,808;hoher Retry-Aufwand, Constraints vermutlich zu eng
Zuverlaessigkeit;Emergency-Fallback-Rate;3,8%;Fallback kaum noetig
Layout;Durchschnitt Raeume vor Capping;12,272;
Layout;Final Placed Rooms;15,584;
Layout;Sollraum-Trefferquote;100,0%;hoch / stabil
Layout;Open Sockets Pre-Cap;6,308;
Layout;Durchschnitt offene Sockets nach Capping;0;vollstaendig geschlossen
Layout;Durchschnitt Branching Factor;1,391;stark verzweigt / labyrinthartig
Layout;Durchschnitt kritischer Pfad;8,176;
Layout;Durchschnitt Nebenpfad-Raeume;4,096;
Progression;Durchschnitt Start-Boss-Distanz;7,176;Progression ausreichend gestreckt
Progression;Boss-Distanz gueltig;100,0%;hoch / stabil
Progression;Spezialraum-Validitaet;100,0%;hoch / stabil
Performance;Gesamtdauer ms;502,721;spuerbar, aber fuer Offline-Generierung brauchbar
Performance;Durchschnitt Room Placement ms;396,532;
Performance;Durchschnitt Capping ms;64,278;
Performance;Durchschnitt NavMesh ms;21,121;
Performance;Durchschnitt Content Spawning ms;9,966;
Fehler;Error Cause;none;
Raumtypen;Cap;1656;
Raumtypen;Corner;1294;
Raumtypen;ThreeWay;1097;
Raumtypen;Corridor;1065;
Raumtypen;Crossway;971;
Raumtypen;Boss;500;
Raumtypen;Start;500;
Raumtypen;BigRoom;413;
Raumtypen;DeadEnd;296;
Generation Fehler;RoomLimitReachedBeforeCompletion;1287;
Generation Fehler;OpenSocketsExhausted;117;
Placement Fehler;Overlap;132956;
Placement Fehler;PlacementConstraintRejected;39493;
Run 0;Varianten-ID;Standard;
Run 0;Success / Failure;true;Success
Run 0;Gesamtdauer ms;288,7;spuerbar, aber fuer Offline-Generierung brauchbar
Run 0;Final Placed Rooms;17;
Run 0;Open Sockets Pre-Cap;6;
Run 0;Error Cause;None;
Run 1;Varianten-ID;Standard;
Run 1;Success / Failure;true;Success
Run 1;Gesamtdauer ms;1181,307;teuer, Performance pruefen
Run 1;Final Placed Rooms;10;
Run 1;Open Sockets Pre-Cap;2;
Run 1;Error Cause;None;
Run 2;Varianten-ID;Standard;
Run 2;Success / Failure;true;Success
Run 2;Gesamtdauer ms;900,199;spuerbar, aber fuer Offline-Generierung brauchbar
Run 2;Final Placed Rooms;10;
Run 2;Open Sockets Pre-Cap;2;
Run 2;Error Cause;None;
Run 3;Varianten-ID;Standard;
Run 3;Success / Failure;true;Success
Run 3;Gesamtdauer ms;611,627;spuerbar, aber fuer Offline-Generierung brauchbar
Run 3;Final Placed Rooms;10;
Run 3;Open Sockets Pre-Cap;2;
Run 3;Error Cause;None;
Run 4;Varianten-ID;Standard;
Run 4;Success / Failure;true;Success
Run 4;Gesamtdauer ms;377,144;spuerbar, aber fuer Offline-Generierung brauchbar
Run 4;Final Placed Rooms;10;
Run 4;Open Sockets Pre-Cap;2;
Run 4;Error Cause;None;
Run 5;Varianten-ID;Standard;
Run 5;Success / Failure;true;Success
Run 5;Gesamtdauer ms;143,529;unproblematisch
Run 5;Final Placed Rooms;10;
Run 5;Open Sockets Pre-Cap;2;
Run 5;Error Cause;None;
Run 6;Varianten-ID;Standard;
Run 6;Success / Failure;true;Success
Run 6;Gesamtdauer ms;312,697;spuerbar, aber fuer Offline-Generierung brauchbar
Run 6;Final Placed Rooms;12;
Run 6;Open Sockets Pre-Cap;2;
Run 6;Error Cause;None;
Run 7;Varianten-ID;Standard;
Run 7;Success / Failure;true;Success
Run 7;Gesamtdauer ms;284,192;spuerbar, aber fuer Offline-Generierung brauchbar
Run 7;Final Placed Rooms;12;
Run 7;Open Sockets Pre-Cap;2;
Run 7;Error Cause;None;
Run 8;Varianten-ID;Standard;
Run 8;Success / Failure;true;Success
Run 8;Gesamtdauer ms;160,385;unproblematisch
Run 8;Final Placed Rooms;12;
Run 8;Open Sockets Pre-Cap;2;
Run 8;Error Cause;None;
Run 9;Varianten-ID;Standard;
Run 9;Success / Failure;true;Success
Run 9;Gesamtdauer ms;38,512;sehr schnell
Run 9;Final Placed Rooms;12;
Run 9;Open Sockets Pre-Cap;2;
Run 9;Error Cause;None;
Run 10;Varianten-ID;Standard;
Run 10;Success / Failure;true;Success
Run 10;Gesamtdauer ms;148,834;unproblematisch
Run 10;Final Placed Rooms;18;
Run 10;Open Sockets Pre-Cap;5;
Run 10;Error Cause;None;
Run 11;Varianten-ID;Standard;
Run 11;Success / Failure;true;Success
Run 11;Gesamtdauer ms;1136,231;teuer, Performance pruefen
Run 11;Final Placed Rooms;17;
Run 11;Open Sockets Pre-Cap;7;
Run 11;Error Cause;None;
Run 12;Varianten-ID;Standard;
Run 12;Success / Failure;true;Success
Run 12;Gesamtdauer ms;682,977;spuerbar, aber fuer Offline-Generierung brauchbar
Run 12;Final Placed Rooms;17;
Run 12;Open Sockets Pre-Cap;7;
Run 12;Error Cause;None;
Run 13;Varianten-ID;Standard;
Run 13;Success / Failure;true;Success
Run 13;Gesamtdauer ms;594,101;spuerbar, aber fuer Offline-Generierung brauchbar
Run 13;Final Placed Rooms;17;
Run 13;Open Sockets Pre-Cap;7;
Run 13;Error Cause;None;
Run 14;Varianten-ID;Standard;
Run 14;Success / Failure;true;Success
Run 14;Gesamtdauer ms;551,47;spuerbar, aber fuer Offline-Generierung brauchbar
Run 14;Final Placed Rooms;17;
Run 14;Open Sockets Pre-Cap;7;
Run 14;Error Cause;None;
Run 15;Varianten-ID;Standard;
Run 15;Success / Failure;true;Success
Run 15;Gesamtdauer ms;443,432;spuerbar, aber fuer Offline-Generierung brauchbar
Run 15;Final Placed Rooms;17;
Run 15;Open Sockets Pre-Cap;7;
Run 15;Error Cause;None;
Run 16;Varianten-ID;Standard;
Run 16;Success / Failure;true;Success
Run 16;Gesamtdauer ms;384,223;spuerbar, aber fuer Offline-Generierung brauchbar
Run 16;Final Placed Rooms;17;
Run 16;Open Sockets Pre-Cap;7;
Run 16;Error Cause;None;
Run 17;Varianten-ID;Standard;
Run 17;Success / Failure;true;Success
Run 17;Gesamtdauer ms;211,921;unproblematisch
Run 17;Final Placed Rooms;17;
Run 17;Open Sockets Pre-Cap;7;
Run 17;Error Cause;None;
Run 18;Varianten-ID;Standard;
Run 18;Success / Failure;true;Success
Run 18;Gesamtdauer ms;437,428;spuerbar, aber fuer Offline-Generierung brauchbar
Run 18;Final Placed Rooms;16;
Run 18;Open Sockets Pre-Cap;9;
Run 18;Error Cause;None;
Run 19;Varianten-ID;Standard;
Run 19;Success / Failure;true;Success
Run 19;Gesamtdauer ms;369,048;spuerbar, aber fuer Offline-Generierung brauchbar
Run 19;Final Placed Rooms;16;
Run 19;Open Sockets Pre-Cap;9;
Run 19;Error Cause;None;
Run 20;Varianten-ID;Standard;
Run 20;Success / Failure;true;Success
Run 20;Gesamtdauer ms;276,69;spuerbar, aber fuer Offline-Generierung brauchbar
Run 20;Final Placed Rooms;16;
Run 20;Open Sockets Pre-Cap;9;
Run 20;Error Cause;None;
Run 21;Varianten-ID;Standard;
Run 21;Success / Failure;true;Success
Run 21;Gesamtdauer ms;355,093;spuerbar, aber fuer Offline-Generierung brauchbar
Run 21;Final Placed Rooms;19;
Run 21;Open Sockets Pre-Cap;9;
Run 21;Error Cause;None;
Run 22;Varianten-ID;Standard;
Run 22;Success / Failure;true;Success
Run 22;Gesamtdauer ms;202,173;unproblematisch
Run 22;Final Placed Rooms;19;
Run 22;Open Sockets Pre-Cap;9;
Run 22;Error Cause;None;
Run 23;Varianten-ID;Standard;
Run 23;Success / Failure;true;Success
Run 23;Gesamtdauer ms;96,388;unproblematisch
Run 23;Final Placed Rooms;19;
Run 23;Open Sockets Pre-Cap;9;
Run 23;Error Cause;None;
Run 24;Varianten-ID;Standard;
Run 24;Success / Failure;true;Success
Run 24;Gesamtdauer ms;527,981;spuerbar, aber fuer Offline-Generierung brauchbar
Run 24;Final Placed Rooms;14;
Run 24;Open Sockets Pre-Cap;7;
Run 24;Error Cause;None;
Run 25;Varianten-ID;Standard;
Run 25;Success / Failure;true;Success
Run 25;Gesamtdauer ms;432,923;spuerbar, aber fuer Offline-Generierung brauchbar
Run 25;Final Placed Rooms;14;
Run 25;Open Sockets Pre-Cap;7;
Run 25;Error Cause;None;
Run 26;Varianten-ID;Standard;
Run 26;Success / Failure;true;Success
Run 26;Gesamtdauer ms;295,246;spuerbar, aber fuer Offline-Generierung brauchbar
Run 26;Final Placed Rooms;14;
Run 26;Open Sockets Pre-Cap;7;
Run 26;Error Cause;None;
Run 27;Varianten-ID;Standard;
Run 27;Success / Failure;true;Success
Run 27;Gesamtdauer ms;53,1;unproblematisch
Run 27;Final Placed Rooms;11;
Run 27;Open Sockets Pre-Cap;0;
Run 27;Error Cause;None;
Run 28;Varianten-ID;Standard;
Run 28;Success / Failure;true;Success
Run 28;Gesamtdauer ms;545,596;spuerbar, aber fuer Offline-Generierung brauchbar
Run 28;Final Placed Rooms;16;
Run 28;Open Sockets Pre-Cap;7;
Run 28;Error Cause;None;
Run 29;Varianten-ID;Standard;
Run 29;Success / Failure;true;Success
Run 29;Gesamtdauer ms;447,242;spuerbar, aber fuer Offline-Generierung brauchbar
Run 29;Final Placed Rooms;16;
Run 29;Open Sockets Pre-Cap;7;
Run 29;Error Cause;None;
Run 30;Varianten-ID;Standard;
Run 30;Success / Failure;true;Success
Run 30;Gesamtdauer ms;429,802;spuerbar, aber fuer Offline-Generierung brauchbar
Run 30;Final Placed Rooms;16;
Run 30;Open Sockets Pre-Cap;7;
Run 30;Error Cause;None;
Run 31;Varianten-ID;Standard;
Run 31;Success / Failure;true;Success
Run 31;Gesamtdauer ms;316,297;spuerbar, aber fuer Offline-Generierung brauchbar
Run 31;Final Placed Rooms;16;
Run 31;Open Sockets Pre-Cap;7;
Run 31;Error Cause;None;
Run 32;Varianten-ID;Standard;
Run 32;Success / Failure;true;Success
Run 32;Gesamtdauer ms;194,798;unproblematisch
Run 32;Final Placed Rooms;16;
Run 32;Open Sockets Pre-Cap;7;
Run 32;Error Cause;None;
Run 33;Varianten-ID;Standard;
Run 33;Success / Failure;true;Success
Run 33;Gesamtdauer ms;85,243;unproblematisch
Run 33;Final Placed Rooms;16;
Run 33;Open Sockets Pre-Cap;7;
Run 33;Error Cause;None;
Run 34;Varianten-ID;Standard;
Run 34;Success / Failure;true;Success
Run 34;Gesamtdauer ms;648,378;spuerbar, aber fuer Offline-Generierung brauchbar
Run 34;Final Placed Rooms;16;
Run 34;Open Sockets Pre-Cap;5;
Run 34;Error Cause;None;
Run 35;Varianten-ID;Standard;
Run 35;Success / Failure;true;Success
Run 35;Gesamtdauer ms;439,343;spuerbar, aber fuer Offline-Generierung brauchbar
Run 35;Final Placed Rooms;16;
Run 35;Open Sockets Pre-Cap;5;
Run 35;Error Cause;None;
